filename,report_id,status,word_count,sections_found,num_sections,file_size_mb,extraction_time_s,text_hash,error
AIR2506.pdf,AIR2506,success,1585,"Probable Cause, Findings",2,0.4,6.61,a0a4fcecf79b3d9c,
AIR2505.pdf,AIR2505,success,2962,"Meteorological Information, Probable Cause, Findings",3,0.3,5.64,384e5efdc591f646,
AIR2504.pdf,AIR2504,success,54792,"Meteorological Information, Probable Cause, Findings",3,4.24,92.04,3824d997b34875b8,
AIR2503.pdf,AIR2503,success,3163,"Probable Cause, Findings",2,0.64,8.44,ce8491ec1ddf066d,
AIR2502.pdf,AIR2502,success,3185,"Probable Cause, Findings",2,0.45,13.61,61c2f730f9abeaeb,
AIR2501.pdf,AIR2501,success,2787,"Probable Cause, Findings",2,0.79,12.41,6716bc1dd7ebecf9,
AIR2406.pdf,AIR2406,success,4635,"Probable Cause, Findings",2,0.49,9.04,716b0bec7ebdbe9f,
AIR2405.pdf,AIR2405,success,1676,"Probable Cause, Findings",2,0.29,4.92,216979ee9f7d4441,
AIR2404.pdf,AIR2404,success,22677,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.54,43.07,22bbb6f0874681d6,
AIR2402.pdf,AIR2402,success,32347,"History of Flight, Meteorological Information, Probable Cause, Findings",4,1.63,52.66,5aa3f3fed56036ef,
AIR2401.pdf,AIR2401,success,24543,"History of Flight, Meteorological Information, Probable Cause, Findings",4,2.35,46.5,603491c7c3bd9930,
AIR2302.pdf,AIR2302,success,1904,"Probable Cause, Findings",2,0.26,4.22,3226ab478ee97386,
AIR2301.pdf,AIR2301,success,19242,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.27,35.39,3a0230172316cd22,
AIR2210.pdf,AIR2210,success,2222,"Probable Cause, Findings",2,0.79,6.81,ea16269db09687b9,
AIR2209.pdf,AIR2209,success,6752,"Probable Cause, Findings",2,0.74,13.53,f14855729fc61fc9,
AIR2208.pdf,AIR2208,success,1887,"Probable Cause, Findings",2,0.64,6.74,e248f31e8bb96d65,
AIR2207.pdf,AIR2207,success,2993,"Meteorological Information, Probable Cause, Findings",3,0.55,8.12,ddf426b2c743fca5,
